25.27,45.33,
0.55,20.61,
-26.11,-6.05,
-32.6,-12.54,
-34.08,-14.02,
-36.46,-16.4,
-42,-21.94,
-45.47,-25.41,
-40.91,-20.85,
-36.34,-16.28,
-31.46,-11.4,
-25.54,-5.48,
-19.42,0.64,
6.25,26.31,
24.95,45.01,
30.77,50.83,
41.56,61.62,
54.04,74.1,
53.45,73.51,
51.56,71.62,
51.59,71.65,
52.49,72.55,
54.06,74.12,
49.5,69.56,
48.66,68.72,
45.53,65.59,
44.17,64.23,
42.69,62.75,
42.37,62.43,
45.09,65.15,
53.12,73.18,
72.46,92.52,
78.49,98.55,
80.44,100.5,
80.54,100.6,
80.24,100.3,
78.7,98.76,
77.78,97.84,
76.64,96.7,
74.4,94.46,
74.18,94.24,
77.91,97.97,
76.62,96.68,
71.62,91.68,
65.48,85.54,
56,76.06,
51.84,71.9,
40.48,60.54,
38.47,58.53,
30.57,50.63,
30.56,50.62,
24.55,44.61,
21.33,41.39,
25.9,45.96,
38.56,58.62,
41.57,61.63,
43.82,63.88,
43.72,63.78,
44.25,64.31,
45.96,66.02,
46.38,66.44,
46.54,66.6,
46.29,66.35,
45.68,65.74,
46.54,66.6,
45.65,65.71,
43.91,63.97,
41.6,61.66,
40.6,60.66,
39.84,59.9,
40.41,60.47,
35.51,55.57,
30.18,50.24,
24.97,45.03,
22.69,42.75,
25.25,45.31,
28.79,48.85,
36.55,56.61,
50.5,70.56,
64.13,84.19,
70.99,91.05,
72.51,92.57,
75.45,95.51,
78.76,98.82,
76.58,96.64,
72.54,92.6,
71.62,91.68,
72.58,92.64,
73.07,93.13,
81.97,102.03,
80.5,100.56,
77.27,97.33,
72.11,92.17,
67.63,87.69,
64.46,84.52,
58.59,78.65,
36.5,56.56,
29.6,49.66,
30.51,50.57,
31.09,51.15,
18.73,38.79,
39.46,59.52,
52.22,72.28,
60.98,81.04,
66.74,86.8,
66.84,86.9,
69.49,89.55,
69.94,90,
72.23,92.29,
74.23,94.29,
74.62,94.68,
77.64,97.7,
78.31,98.37,
86.89,106.95,
87.96,108.02,
84.53,104.59,
72.9,92.96,
70.44,90.5,
70.51,90.57,
66.81,86.87,
59.99,80.05,
59.09,79.15,
58.72,78.78,
57.87,77.93,
57.62,77.68,
59.24,79.3,
60.54,80.6,
61.9,81.96,
64.73,84.79,
71.65,91.71,
74.54,94.6,
74.28,94.34,
74.55,94.61,
73.44,93.5,
69.24,89.3,
67.94,88,
71.06,91.12,
76,96.06,
80.52,100.58,
76.44,96.5,
71.44,91.5,
64.23,84.29,
66.8,86.86,
59.57,79.63,
52.41,72.47,
46.52,66.58,
46.53,66.59,
44.54,64.6,
43.05,63.11,
43.75,63.81,
42.71,62.77,
43.56,63.62,
