-5,27
-29,99
-56,65
-63,14
-64,62
-67
-72,54
-76,01
-71,45
-66,88
-62
-56,08
-49,96
-24,29
-5,59
0,23
11,02
23,5
22,91
21,02
21,05
21,95
23,52
18,96
18,12
14,99
13,63
12,15
11,83
14,55
22,58
41,92
47,95
49,9
50
49,7
48,16
47,24
46,1
43,86
43,64
47,37
46,08
41,08
34,94
25,46
21,3
9,94
7,93
0,03
0,02
-5,99
-9,21
-4,64
8,02
11,03
13,28
13,18
13,71
15,42
15,84
16
15,75
15,14
16
15,11
13,37
11,06
10,06
9,3
9,87
4,97
-0,36
-5,57
-7,85
-5,29
-1,75
6,01
19,96
33,59
40,45
41,97
44,91
48,22
46,04
42
41,08
42,04
42,53
51,43
49,96
46,73
41,57
37,09
33,92
28,05
5,96
-0,94
-0,03
0,55
-11,81
8,92
21,68
30,44
36,2
36,3
38,95
39,4
41,69
43,69
44,08
47,1
47,77
56,35
57,42
53,99
42,36
39,9
39,97
36,27
29,45
28,55
28,18
27,33
27,08
28,7
30
31,36
34,19
41,11
44
43,74
44,01
42,9
38,7
37,4
40,52
45,46
49,98
45,9
40,9
33,69
36,26
29,03
21,87
15,98
15,99
14
12,51
13,21
12,17
13,02
20,52
23,22
24,81
28,95
28,96
27,08
23,46
23,7
27,21
30,88
34,34
32,33
31,44
28,94
29,69
27,01
18,91
15,15
15,11
13,42
12,91
17,1
30,03
42,93
44,95
42,57
41,98
41,54
42,9
42,9
40,91
40,97
39,69
40,26
37,99
31,92
28,02
22,35
22,7
4,89
13,09
12,62
9,79
4,99
9,24
14,66
28,17
32,36
32,53
32,38
32,35
34,04
35,99
39,58
40,62
40,98
42,88
44,06
42,91
40,98
40,9
38
32,6
30,61
30
28,3
27,95
26,91
26,63
30,91
34,87
45,09
49,16
48,94
48,04
47,78
47,19
45,24
47,1
47,98
48,9
51,9
52,69
49,1
44
36,99
38,43
37,9
37,33
36,3
34,2
33
33,05
37,09
41,5
53,07
57,02
55,91
55,13
55,91
54,61
54,83
54,74
54,01
54,96
57,04
57,48
54,9
50
43,13
42,4
37,92
33,09
33,45
34
33,08
33,03
35,1
39,93
48,5
48,23
45,99
45,95
46,91
48,49
48,45
45,96
45,92
46,5
50,52
47
44,91
43,01
38,79
35,02
33,24
39,03
30,97
29,87
28,93
28,79
28,98
29,35
31,43
36,43
39,92
39,34
40,96
41,02
38,81
32,16
31,88
34,86
38,9
37,62
32,86
30,59
29,8
29,34
