0.01,0.0018
0.012,0.0018
0.016,0.0018
0.02,0.002
0.025,0.0023
0.032,0.003
0.04,0.0037
0.05,0.0046
0.063,0.0058
0.075,0.0068
0.09,0.0082
0.11,0.01
0.125,0.0114
0.14,0.0127
0.16,0.0146
0.18,0.0164
0.2,0.0182
0.225,0.0205
0.25,0.0227
0.28,0.0254
0.315,0.0286
0.355,0.0322
0.4,0.0363
0.45,0.0409
0.5,0.0454
0.56,0.0508
0.63,0.0572
0.71,0.0645
0.8,0.0727
0.9,0.0818





